Number of Cells,3.60E+01,2.03E+02,1.14E+03,6.43E+03,3.62E+04
Serial,7.13E-03,4.01E-02,2.26E-01,1.27E+00,7.15E+00
Kokkos Omp,8.32E-04,3.70E-03,1.98E-02,1.11E-01,6.22E-01
Kokkos Cuda Flat Parallel,2.67E-04,8.68E-04,4.09E-03,2.23E-02,1.24E-01
Kokkos Team Reduction,2.19E-03,1.17E-02,6.42E-02,3.59E-01,2.02E+00
Kokkos Tiling,2.63E-04,8.20E-04,3.95E-03,2.12E-02,1.16E-01
