Number of Cells,2.00E+00,1.30E+01,7.30E+01,4.11E+02,2.31E+03
Kokkos Omp,3.27E-03,2.18E-02,1.23E-01,6.84E-01,3.83E+00
Kokkos Cuda Flat Parallel,7.24E-04,3.43E-03,1.82E-02,1.01E-01,5.68E-01
Kokkos Team Reduction,6.16E-03,3.92E-02,2.18E-01,1.23E+00,6.90E+00
Kokkos Tiling,1.95E-04,4.72E-04,1.72E-03,8.43E-03,4.63E-02
