Number of Cells,864.0,1242.0,1782.0,2565.0,3699.0,5319.0,7668.0,11043.0,15903.0,22869.0,32913.0,47331.0,68121.0,97983.0,140940.0,202740.0,291630.0,419500.0,603450.0,868050.0
Serial,0.001114,0.0016259,0.0023048,0.0032983,0.0047384,0.0068219,0.0097979,0.014057,0.020256,0.029242,0.041964,0.060422,0.08762,0.12541,0.18008,0.25905,0.37703,0.5377,0.77065,1.1085
Kokkos Omp,0.00052419,0.00055807,0.00066614,0.00079527,0.00098677,0.001248,0.0016268,0.0063804,0.0030651,0.004219,0.005865,0.0089559,0.011649,0.016966,0.023594,0.057619,0.12535,0.069415,0.10134,0.14034
Kokkos Cuda Flat Parallel,0.00087444,0.00091616,0.00092406,0.00092766,0.00094498,0.0009501,0.0010095,0.0011014,0.0012665,0.0015674,0.0022887,0.002923,0.0041189,0.0055689,0.0080523,0.011199,0.015983,0.022521,0.032186,0.045924
Kokkos Cuda Team Depth 1,0.0010011,0.001219,0.0016178,0.0021974,0.0029723,0.0041134,0.0057714,0.008156,0.011559,0.016473,0.023544,0.0337,0.048536,0.069359,0.099519,0.14307,0.20556,0.29553,0.4249,0.6111
Kokkos Cuda Team Depth 2,0.00067061,0.00079133,0.0010159,0.0013278,0.0017364,0.0023492,0.0032212,0.0044847,0.006296,0.0089123,0.012668,0.018094,0.025931,0.037044,0.053076,0.076258,0.10952,0.15735,0.22605,0.32504
Kokkos Cuda Team Depth 3,0.00054804,0.00067669,0.00083373,0.0010483,0.001372,0.0018128,0.0024606,0.0033973,0.0047351,0.0066663,0.0094394,0.013428,0.019166,0.027442,0.039347,0.056387,0.080998,0.11636,0.16726,0.24041
Kokkos Cuda Team Stride,0.00059456,0.00068309,0.00084061,0.0010692,0.0013955,0.0018516,0.0025193,0.0034804,0.0048347,0.0068004,0.0096482,0.013731,0.019697,0.028064,0.040184,0.057682,0.082768,0.11893,0.17084,0.24579
Kokkos Omp Team Size 2,0.00093981,0.0011958,0.0015565,0.0021759,0.0028264,0.0039,0.0095519,0.0077195,0.013347,0.015521,0.022184,0.031776,0.045495,0.066237,0.098812,1.4014,1.4548,0.29268,0.40299,0.60944
Kokkos Omp Team Size 12,0.01045,0.014833,0.021138,0.030332,0.043724,0.068885,0.089916,0.15611,0.23003,0.27425,0.43548,0.58035,0.80523,1.1465,1.6668,3.5531,4.1578,5.028,7.1517,10.36
