Number of Cells,64.0,92.0,132.0,190.0,274.0,394.0,568.0,818.0,1178.0,1694.0,2438.0,3506.0,5046.0,7258.0,10440.0,15018.0,21602.0,31074.0,44700.0,64300.0
Serial,0.00092565,0.0013234,0.001893,0.0027131,0.003934,0.005626,0.0080924,0.011622,0.016783,0.024091,0.03476,0.050053,0.071951,0.10352,0.14866,0.21392,0.30774,0.44484,0.63682,0.91846
Kokkos Omp,0.00068063,0.00070524,0.00072081,0.00073659,0.001067,0.0014349,0.0014768,0.0022129,0.002929,0.0038488,0.0054859,0.0080507,0.011566,0.015814,0.022338,0.03123,0.044968,0.0637,0.093099,0.13136
Kokkos Cuda Flat Parallel,0.0059802,0.0068032,0.0068161,0.0068736,0.0068636,0.0069193,0.0068032,0.0069147,0.0069157,0.0069462,0.0069699,0.0071602,0.0072664,0.0077312,0.0092612,0.011827,0.017113,0.031052,0.03517,0.051855
Kokkos Cuda Team Depth 1,0.0010445,0.001047,0.0010621,0.0010959,0.0017942,0.0018679,0.0026023,0.003415,0.0048275,0.0069946,0.0094251,0.013265,0.019226,0.027016,0.038622,0.055217,0.079094,0.11418,0.16291,0.2355
Kokkos Cuda Team Depth 2,0.00051473,0.00052892,0.000535,0.00057518,0.00076433,0.00081203,0.0010362,0.0013058,0.0017429,0.002399,0.0031469,0.0043622,0.0061202,0.0085421,0.012225,0.017127,0.024409,0.035219,0.049972,0.072073
Kokkos Cuda Team Depth 3,0.0006082,0.00073361,0.00088065,0.001094,0.0014212,0.0018736,0.0025436,0.0035064,0.0049266,0.0068657,0.0096984,0.013802,0.019772,0.028239,0.040448,0.057868,0.083092,0.12043,0.17157,0.2463
Kokkos Cuda Team Stride,0.00067624,0.00067307,0.00066871,0.00068199,0.0010052,0.0010474,0.0013919,0.0017728,0.0024418,0.0034131,0.0045847,0.0064046,0.0090808,0.012798,0.018227,0.026002,0.037198,0.053262,0.07643,0.1097
Kokkos Omp Team Size 2,0.00084833,0.0010182,0.0012452,0.0016445,0.0021988,0.0029716,0.0041949,0.0058853,0.0082563,0.011716,0.016675,0.023824,0.034061,0.048758,0.069909,0.10028,0.14409,0.20731,0.29683,0.42864
Kokkos Omp Team Size 12,0.0014009,0.001833,0.0024778,0.0034052,0.0047765,0.0068948,0.0094483,0.013742,0.019507,0.027744,0.03977,0.05723,0.08225,0.117,0.17018,0.2445,0.35294,0.50548,0.73771,1.0583
