Number of Cells,9.76E+02,5.49E+03,3.09E+04,1.74E+05,9.77E+05
Kokkos Omp,4.95E-04,1.89E-03,9.71E-03,5.39E-02,3.00E-01
Kokkos Cuda Flat Parallel,1.89E-04,4.54E-04,1.92E-03,1.02E-02,5.66E-02
Kokkos Team Reduction,6.58E-04,2.83E-03,1.41E-02,7.74E-02,4.32E-01
Kokkos Tiling,1.95E-04,4.72E-04,1.72E-03,8.43E-03,4.63E-02
